#,channel_name,total_videos,total_subscribers,total_views
1,MrBeast,844,357000000,71840000000
2,Cocomelon - Nursery Rhymes,1420,189000000,1.96E+11
3,Vlad and Niki,852,133000000,1.02E+11
4,Kids Diana Show,1310,130000000,1.11E+11
5,Like Nastya,925,125000000,1.10E+11
6,Stokes Twins,342,112000000,18180000000
7,5-Minute Crafts,7480,81100000,27990000000
8,Baby Shark - Pinkfong Kid's Songs & Stories,3450,80200000,47980000000
9,Alan Chikin Chow,1450,78000000,51100000000
10,A4,979,74600000,32010000000
11,Toys and Colors,1440,71500000,86850000000
12,Mark Rober,195,64000000,10090000000
13,Movieclips,41990,63400000,64780000000
14,Dude Perfect,471,60800000,18220000000
15,LooLoo Kids - Nursery Rhymes and Children's Songs,955,59700000,36970000000
16,Billion Surprise Toys,1280,57700000,12460000000
17,Marshmello,512,57600000,16390000000
18,Topper Guild,1100,5700000,21910000000
19,Billie Eilish,143,54500000,18150000000
20,Zhong,1890,51400000,18540000000
21,MrBeast 2,129,48700000,7280000000
22,MrBeast Gamming,142,46600000,8530000000
23,Katy Perry,171,45800000,27620000000
24,DaFuq!?Boom!,305,45000000,18350000000
25,Benevieve's Playhouse - Learning Videos for Kids,660,44700000,34540000000
26,Like Nastya Show,781,44200000,21300000000
27,Youtube,891,42500000,2540000000
28,Zach King,754,41800000,19700000000
29,XXXTENTACION,135,41500000,11530000000
30,Little Baby Bum - Nursery Rhymes & Kids Songs,2890,41400000,41330000000
31,LankyBox,10460,40500000,38530000000
32,LeoNata Family,4090,40200000,42510000000
33,BabyBus - Kids Songs and Cartoons,2660,39900000,30990000000
34,Kids Roma Show,759,39800000,16510000000
35,Daddy Yankee,578,39700000,25890000000
36,Ryan's World,3140,38800000,59700000000
37,Marta and Rustam,1380,38300000,32510000000
38,TheEllenShow,17650,38300000,23520000000
39,Maroon 5,185,37300000,25350000000
40, Markiplier,5700,37300000,22240000000
41,MaviGadget,6150,37100000,32930000000
42,Brent Rivera,746,36900000,10150000000
43,Lucas and Marcus,2120,36600000,15560000000
44,DisneyMusicEVO,2670,36500000,34820000000
45,IShowSpeed,1530,35900000,3540000000
46,Hamster Kombat,262,35900000,1280000000
47,That Little Puff,1040,35700000,30210000000
48,????? ?? ??????,681,35700000,20340000000
49,Ben Azekart,357,35300000,8310000000
50,Beast Reacts,238,35300000,6540000000
